20190514,00:11:16,25.0
20190514,00:15:28,25.0
20190514,00:17:09,25.0
20190514,00:18:44,25.0
20190514,00:22:35,25.0
20190514,01:12:37,25.0
20190514,01:14:14,25.0
20190514,02:22:53,25.0
20190514,02:27:34,25.0
20190514,02:27:55,25.0
20190514,02:36:15,25.0
20190514,02:40:56,25.0
20190527,01:56:15,21.0
20190527,02:35:20,21.0
20190526,17:37:03,21.0
20190526,17:38:43,21
20190526,17:45:05,21
20190526,22:17:19,21
20190526,22:17:37,21
20190526,22:20:28,21
20190526,22:22:36,21
20190526,22:23:16,21
20190526,22:24:12,21
20190526,22:24:53,21
20190526,22:26:07,21
20190526,22:27:01,21
20190526,22:29:25,21
20190526,22:30:23,21
20190526,22:31:22,21
20190526,22:32:17,21
20190526,22:33:24,21
20190526,22:34:09,21
20190526,22:34:47,21
20190526,22:35:01,21
20190526,22:35:31,21
20190526,22:36:13,21
20190526,22:36:38,21
20190526,22:37:00,21
20190526,22:37:53,undefined
20190526,22:38:20,undefined
20190526,22:38:53,[object Undefined]
20190526,22:39:03,[object Undefined]
20190526,22:40:11,[object Undefined]
